Subject,Start Date,End Date,All Day Event,Description
Interaktywny tester reguł głosowych,2025-04-14,2025-04-14,True,FUKO-VOICE: Interaktywny tester reguł głosowych od 2025-04-14 do 2025-04-14
Scoring tonu i emocji (0–1),2025-04-15,2025-04-16,True,FUKO-VOICE: Scoring tonu i emocji (0–1) od 2025-04-15 do 2025-04-16
Osadzenie reguł w @voice-core (LIVE DECISION),2025-04-17,2025-04-18,True,FUKO-VOICE: Osadzenie reguł w @voice-core (LIVE DECISION) od 2025-04-17 do 2025-04-18
Warstwa persony głosowej (np. @lider),2025-04-19,2025-04-19,True,FUKO-VOICE: Warstwa persony głosowej (np. @lider) od 2025-04-19 do 2025-04-19
Uczenie nowych reguł przez AI,2025-04-20,2025-04-21,True,FUKO-VOICE: Uczenie nowych reguł przez AI od 2025-04-20 do 2025-04-21
Interfejs nagrywania i odtwarzania,2025-04-22,2025-04-23,True,FUKO-VOICE: Interfejs nagrywania i odtwarzania od 2025-04-22 do 2025-04-23
System feedbacku 'czy agent zrozumiał',2025-04-24,2025-04-24,True,FUKO-VOICE: System feedbacku 'czy agent zrozumiał' od 2025-04-24 do 2025-04-24
Kanwa błędów głosowych (techniczne),2025-04-25,2025-04-25,True,FUKO-VOICE: Kanwa błędów głosowych (techniczne) od 2025-04-25 do 2025-04-25
Reguły pomocnicze dla @voice-support,2025-04-26,2025-04-26,True,FUKO-VOICE: Reguły pomocnicze dla @voice-support od 2025-04-26 do 2025-04-26
Audyt głosowy – dziennik tonu i decyzji,2025-04-27,2025-04-28,True,FUKO-VOICE: Audyt głosowy – dziennik tonu i decyzji od 2025-04-27 do 2025-04-28
